NAMASTE_PRIMARY_CODE,NAMASTE_CODE,NAMASTE_TERM,NAMASTE_ENGLISH,TM2_CODE,TM2_TERM,TM2_URI,MAPPING_CLASS,MAPPING_STATUS,CONFIDENCE,SOURCE,VERSION,NAMASTE_TERM_DIACRITICAL,NAMASTE_TERM_DEVANAGARI,SHORT_DEFINITION,LONG_DEFINITION,ENGLISH_INDEX,PRIMARY_INDEX_RELATED,BIOMEDICAL_CODE,BIOMEDICAL_TERM,RELATIONSHIP
A,A,doShavaiShamyam,derangement of dōṣa,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,dōṣavaiṣamyam,दोषवैषम्यम्,-,-,-,-,,,
AA,AA,vAtavyAdhiH,disorders due to vāta,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,vātavyādhiḥ,वातव्याधिः,-,-,-,-,,,
AAA,AAA,doShAvasthA (vAta),morbid state of dōṣa,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,dōṣāvasthā (vāta),दोषावस्था (वात),-,-,-,-,,,
AAA-2.2,AAA-2.2,prANavAtakopaH,vitiated prāṇavāyu,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,prāṇavātakōpaḥ,प्राणवातकोपः,-,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",-,-,,,
AAA-2.3,AAA-2.3,udAnavAtakopaH,vitiated udānavāyu,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,udānavātakōpaḥ,उदानवातकोपः,-,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",-,-,,,
AAA-2.4,AAA-2.4,vyAnavAtakopaH,vitiated vyānavāyu,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,vyānavātakōpaḥ,व्यानवातकोपः,-,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",-,-,,,
AAA-2.5,AAA-2.5,samAnavAtakopaH,vitiated samānavāyu,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,samānavātakōpaḥ,समानवातकोपः,-,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",-,-,,,
AAA-2.6,AAA-2.6,apAnavAtakopaH,vitiated apānavāyu,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,apānavātakōpaḥ,अपानवातकोपः,-,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",-,-,,,
AAB,AAB,nAnAtmajavAtavikAraH,diseases due only to vitiated vāta,,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,nānātmajavātavikāraḥ,नानात्मजवातविकारः,-,-,-,-,,,
AAB-10,AAB-10,akShiBedaH (kEvalavAta),tearing pain of eye (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),-,-,-,-,,,
